date,UST_10YR,UIVE_SP500VALUEETF,VNQ_VANGREALEST,USFFR,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,USDJPY,USDGBP,VIG_VANGDIV,IVV_SP500,USDRMB,CRUDOIL,CFE_VIX,EEM_MSCIEMERGING,USDEUR,XLE_ENERGYSPDR,SP500_GSCI,EFA_MSCIEAFE,TIP_TIPSBOND,UST_2YR,USDOIS,CHNGDP,USGDP,EZGDP,US_UNEMP,CHNGDP_Shock,USGDP_Shock,EZGDP_Shock,US_UNEMP_Shock,VNQ_VOL,EMB_VOL,LQD_VOL,MUB_VOL,VIG_VOL,IVV_VOL,EEM_VOL,EFA_VOL,XLE_VOL,SHY_VOL,TIP_VOL
4/21/2015,1.911,94.45,82.06,0.13,113.2,121.9,110.16,84.92,0.83565,1.4926,80.98,211.06,6.201,55.26,14.85,42.91,0.93149,81.35,426.157,25.61,114.77,0.5192,0.126,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.1434573107155156,0.2654618616595392,0.13693063936058225,0.061400325758817514,0.45480765165720843,1.027195210217314,0.32984845005045116,0.20203960007883173,0.5324190079226481,0.019493588666600597,0.35851080876392877
4/22/2015,1.9827,94.05,82.23,0.13,113.61,121.11,109.99,84.85,0.8339,1.50365,81.35,212.08,6.194,56.16,14.85,43.37,0.932271,81.89,426.559,25.67,114.24,0.5516,0.126,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.1789413311611028,0.21295539438049396,0.4144273156970322,0.12437845473901446,0.44283179651639554,1.063541254438851,0.37423254802417033,0.18676188047889933,0.43252745577278845,0.03962322550114258,0.47378265059054125
4/23/2015,1.9546,94.15,82.45,0.13,113.87,121.42,109.94,84.89,0.8362499,1.50585,81.37,212.61,6.197,57.74,14.6,43.69,0.92366,82.45,435.066,25.62,114.53,0.5314,0.127,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.2564566240082043,0.3128098463855398,0.44399324318724864,0.16021860067808,0.47841404662275244,1.2393223954618113,0.44858666944152836,0.1909712020175151,0.41446350864373616,0.02949576239269366,0.4997699470762704
4/24/2015,1.9142,94.6,82.62,0.13,114.11,121.65,110.08,84.92,0.8404,1.51885,81.59,213.08,6.1935,57.15,14.55,43.845,0.919625,81.98,435.421,25.65,115.02,0.5072,0.127,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.28377808230660845,0.43031383895446856,0.34419471233015214,0.11895377254724948,0.2551078203545975,0.8579743585285096,0.50388490749431,0.11322543883779944,0.4133642461525688,0.02949576239269366,0.376390754403788
4/27/2015,1.9264,94.69,82.51,0.13,114.24,121.56,110.0,84.91,0.84005,1.52385,81.36,212.24,6.219,56.99,14.4,44.02,0.918401,81.89,434.021,25.74,115.04,0.5234,0.13,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.22589820715880507,0.4154876652750414,0.2918389967021195,0.08648699326027336,0.21965882637877365,0.7511857292921724,0.43820086718357293,0.05167204273116277,0.39079406341096945,0.02949576239269366,0.33963215395581103
4/28/2015,2.0038,94.16,82.35,0.13,114.16,120.84,109.9,84.87,0.8413,1.5338,81.55,212.82,6.204,57.06,14.45,44.09,0.910623,82.3,434.665,25.61,114.38,0.548,0.13,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.1493987951676313,0.25704085277576655,0.33575288531340963,0.06797058189527012,0.11610340221606444,0.41021945333181714,0.28787149911086385,0.05167204273116277,0.25742960202223125,0.028635642111445946,0.3688088936030396
4/29/2015,2.0464,94.26,80.69,0.13,113.44,119.84,109.72,84.88,0.84005,1.544,81.08,211.99,6.1993,58.58,14.5,43.54,0.898352,82.94,440.902,25.23,114.17,0.5461,0.127,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,0.8075766217503211,0.32377461295737064,0.7524094629897348,0.13461054937544806,0.20186629239703352,0.437915516843004,0.2276949713988464,0.19685019685032934,0.4188913940359766,0.020736441332342908,0.3886772439964837
4/30/2015,2.0357,94.38,79.38,0.08,113.12,119.94,109.58,84.87,0.83775,1.5351,80.3,209.85,6.2028,59.63,14.95,42.88,0.890908,82.68,445.585,24.92,114.36,0.5583,0.13,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,1.4271475046391975,0.5025733777228015,0.8598139333581218,0.20464603588423136,0.5295564181520626,1.2766087888983297,0.4925444142413845,0.3453259329966629,0.4493550934366087,0.023452078780632154,0.4064234245226455
5/1/2015,2.1122,94.26,79.98,0.13,112.83,118.95,109.13,84.8,0.8321,1.5141,81.16,212.12,6.2028,59.15,15.95,43.14,0.892738,82.87,443.828,25.35,113.89,0.5976,0.127,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,1.4019522103117756,0.6251559805326392,1.0019381218404808,0.34055836504634757,0.4779121258202239,1.1374225247869307,0.5311120409108127,0.32287768581928533,0.4383263624258675,0.04037325846587688,0.4241108345713312
5/4/2015,2.1461,94.9,80.06,0.13,112.67,118.57,109.136,84.8,0.8324,1.512,81.36,212.8,6.209,58.93,15.8,43.39,0.897183,82.66,444.033,25.38,113.45,0.6018,0.128,164456.3,17047.098,2580.99,5.4,0.0,0.0,0.0,0.0,1.137615928157758,0.5902795947648424,0.8930677465891136,0.3478378932821609,0.4779121258202239,1.2159481896415485,0.4564756291419085,0.25213091837380613,0.2489979919548651,0.04037325846610145,0.3889087296537677
